ts	iter	verdict	score	base_score	ret_pct	cagr_pct	sharpe	ann_vol	trades	max_dd	psr_zero	boot_p	evidence	extreme_ret_pct	guard	desc
2026-09-05T20:00:13Z	1	REJECTED	-0.044749	-0.009153	276.38	12.818	0.8047	16.732	33	-31.533	0.996405	0.007984	A	271.405	paired chronological folds did not show a median/majority improvement over baseline	Add an upward-sloping 50-period SMA filter to entry condition to ensure trades are taken only in an established medium-term uptrend.
2026-09-05T20:06:09Z	2	KEPT	0.05672	-0.009153	383.713	15.423	1.0816	14.202	42	-23.092	0.999834	0.001996	A	375.313	K -0.009153 -> 0.05672; paired folds 0.7273 improved; prefix lookahead audit PASS (required delta 0.0057)	Replace SMA50 exit with a trailing stop based on highest high since entry minus 3×ATR
2026-09-06T14:53:22Z	3	PARAMETER_ONLY	nan	0.05672	nan	nan	nan	nan	0	nan	nan	nan		nan	numeric-only parameter mutation rejected by hardened anti-curve-fit policy	Increase breakout lookback from 20 to 55 bars to capture longer-term swing breakouts.
2026-09-06T14:53:41Z	4	REJECTED	-0.00195	0.05672	109.901	6.98	0.6227	12.005	29	-21.365	0.978552	0.025948	B	107.194	paired chronological folds did not show a median/majority improvement over baseline	Add a volatility expansion filter requiring current ATR to exceed its 10‑bar simple moving average to ensure breakouts occur with rising volatility.
2026-09-06T14:54:24Z	5	REJECTED	-0.0844	0.05672	123.039	7.572	0.6239	13.085	37	-34.095	0.979016	0.033932	A	119.554	guard: development robustness gate failed	Add an ADX trend strength filter requiring ADX > 20 to ensure entries occur only in strong trending conditions.
2026-09-06T14:54:56Z	6	REJECTED	0.009423	0.05672	244.736	11.92	0.9721	12.384	34	-21.12	0.999189	0.003992	A	239.705	paired chronological folds did not show a median/majority improvement over baseline	Add a long-term trend filter (price > 200-day SMA) to entry condition
2026-09-06T15:14:20Z	7	CRASH	nan	0.05672	nan	nan	nan	nan	0	nan	nan	nan		nan	NVIDIA research-agent call failed: delimiter parse failed (required output markers missing or out of order); JSON fallback failed (Expecting value: line 1 column 1 (char 0))	(agent failed)
2026-09-06T15:20:58Z	8	REJECTED	0.015472	0.05672	321.11	13.976	1.0298	13.611	41	-22.653	0.999672	0.001996	A	314.206	paired chronological folds did not show a median/majority improvement over baseline	Add a bullish candle filter requiring the current bar's close to exceed its open to ensure buying pressure at entry.
2026-09-06T15:22:08Z	9	KEPT	0.077204	0.05672	396.709	15.702	1.0991	14.197	52	-21.945	0.999854	0.003992	A	385.162	K 0.05672 -> 0.077204; paired folds 0.5455 improved; prefix lookahead audit PASS (required delta 0.0064)	Add a maximum holding period exit to limit trade duration and reduce exposure.
2026-09-06T15:29:22Z	10	REJECTED	0.080605	0.077204	317.705	13.892	1.0477	13.259	77	-24.478	0.999803	0.001996	A	303.72	paired chronological folds did not show a median/majority improvement over baseline	Add a profit target exit based on a multiple of ATR to limit gains and reduce exposure.
