ts	iter	verdict	score	base_score	ret_pct	cagr_pct	sharpe	ann_vol	trades	max_dd	psr_zero	boot_p	evidence	extreme_ret_pct	guard	desc
2026-09-06T01:32:14Z	1	REJECTED	-0.228896	0.182025	-5.083	-3.688	-0.4435	7.782	4	-9.023	0.298945	0.728543	D	-5.24	guard: development robustness gate failed	Add an ADX-based trend filter to only enter mean-reversion longs when the market is not trending (ADX < 20).
2026-09-06T01:32:50Z	2	REJECTED	-0.014052	0.182025	10.837	7.694	0.8478	9.238	8	-7.775	0.848277	0.135729	D	10.493	guard: development robustness gate failed	Add a volatility regime filter: only enter mean-reversion longs when current realized volatility exceeds its 50-period moving average, indicating elevated volatility conducive to mean reversion.
2026-09-06T08:52:18Z	3	REJECTED	-0.030324	0.182025	6.344	4.531	0.4955	9.932	7	-9.023	0.720281	0.261477	D	6.02	guard: development robustness gate failed	Add a low-volatility regime filter: only enter mean-reversion longs when current realized volatility is below its 50-period moving average, indicating calmer markets conducive to mean reversion.
2026-09-06T08:53:48Z	4	RISK_CONTROL_CHANGE	nan	0.182025	nan	nan	nan	nan	0	nan	nan	nan		nan	host-owned sizing controls (_units/vol_target/f_max/vol_lookback) changed	Add a volume regime filter: only enter mean-reversion longs when current volume exceeds its 20-period moving average, indicating heightened participation.
2026-09-06T08:54:46Z	5	REJECTED	-0.035004	0.182025	4.551	3.258	0.2777	16.265	17	-12.887	0.62947	0.341317	D	3.821	guard: development robustness gate failed	Add a short-term bullish price reversal filter: only enter mean-reversion longs when the current close is above the previous close, indicating a potential bounce.
2026-09-06T08:55:29Z	6	REJECTED	0.081844	0.182025	16.71	11.775	0.7598	16.401	15	-11.956	0.819248	0.169661	D	16.008	paired chronological folds did not show a median/majority improvement over baseline	Add an ADX trend filter: only enter mean-reversion longs when ADX > 20, indicating a trending market where mean-reversion bounces may occur.
2026-09-06T09:18:23Z	7	REJECTED	-0.00811	0.182025	14.326	10.126	1.0169	9.946	2	-3.948	0.95539	0.121756	D	14.219	guard: development robustness gate failed	Add an RSI oversold filter (RSI < 30) to only enter mean-reversion longs when the market is deeply oversold.
2026-09-06T09:18:50Z	8	REJECTED	-0.057148	0.182025	7.057	5.036	0.4177	14.104	10	-12.235	0.694002	0.299401	D	6.594	guard: development robustness gate failed	Add a rising z-score condition to enter mean-reversion longs only when the z-score is increasing, indicating early signs of a bounce.
2026-09-06T09:19:13Z	9	REJECTED	0.19102	0.182025	24.012	16.77	1.034	16.247	15	-9.188	0.900644	0.08982	C	23.276	paired chronological folds did not show a median/majority improvement over baseline	Add a condition that the z-score must be decreasing (more negative) when entering mean-reversion longs, to increase confidence that price is deviating further from mean before expecting reversion.
2026-09-06T09:19:40Z	10	REJECTED	-0.227157	0.182025	-0.323	-0.233	-0.001	6.729	6	-7.211	0.499521	0.518962	D	-0.564	guard: development robustness gate failed	Add a medium-term uptrend filter: only enter mean-reversion longs when the price is above its 50-period simple moving average.
2026-09-06T09:38:42Z	11	REJECTED	0.08979	0.182025	17.214	12.122	0.8825	14.06	8	-9.188	0.868355	0.107784	D	16.831	guard: development robustness gate failed	Add a short-term bearish momentum filter: only enter mean-reversion longs when the current close is below the previous close, indicating continued downward momentum enhancing mean-reversion potential.
